%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3
1532641475322861137,0,0,0,0,0
1532641475324306383,0,0,0,0,0
1532641475325731752,0,0,0,0,0
1532641475327121909,0,0,0,0,0
1532641475328592597,0,0,0,0,0
1532641475329973361,0,0,0,0,0
1532641475331411421,0,0,88,0,0
1532641475332684633,0,0,68,0,0
1532641475334323864,0,0,99,0,0
1532641475335778381,0,0,8,0,0
1532641475337111656,0,0,13,0,0
1532641475338749561,0,0,45,0,0
1532641475340148222,0,0,50,0,0
1532641475341705858,0,0,50,0,0
1532641475343167140,0,0,45,0,0
1532641475344588683,0,1,48,0,168
1532641475346019102,0,2,49,0,399
1532641475347459620,0,4,24,0,507
1532641475407159456,0,16,11,0,609
1532641475408548210,0,11,23,0,692
1532641475409919681,0,57,46,0,771
1532641475411353486,0,88,708,1,806
1532641475412703628,0,166,738,0,831
1532641475414140630,0,208,760,0,846
1532641475415486490,0,249,775,0,858
1532641475417167029,0,270,794,0,864
1532641475418589995,0,300,810,0,872
1532641475420021761,0,321,817,0,880
1532641475421755908,0,346,828,0,884
1532641475423482449,0,353,832,0,888
1532641475424802244,0,358,834,0,892
1532641475426287635,0,366,833,0,893
1532641475427567813,0,371,835,0,895
1532641475428916522,0,376,838,0,896
1532641475430267822,0,381,841,0,897
1532641475491450217,0,387,846,0,896
1532641475492864950,0,391,844,0,894
1532641475494272118,0,392,828,0,893
1532641475495627835,0,396,844,0,892
1532641475497162795,0,399,852,0,892
1532641475498642393,0,403,859,0,889
1532641475499910880,0,409,851,0,887
1532641475501419492,0,414,857,0,887
1532641475502922160,0,419,857,0,886
1532641475504491963,0,423,869,0,884
1532641475505879066,0,426,874,0,885
1532641475507407640,0,429,877,0,884
1532641475508944046,0,432,881,0,885
1532641475510321359,0,435,887,0,886
1532641475511738369,0,441,888,0,886
1532641475512984984,0,447,868,0,887
1532641475514356578,0,446,877,0,888
1532641475515629214,0,448,876,0,889
1532641475575775847,0,453,881,0,890
1532641475577084975,0,453,881,0,890
1532641475578521754,0,467,877,0,889
1532641475579890473,0,473,889,0,887
1532641475581291162,0,479,859,0,887
1532641475582651950,0,478,857,0,887
1532641475584197862,0,484,882,0,887
1532641475585648197,0,486,900,0,887
1532641475587004696,0,492,910,0,883
1532641475588401228,0,496,906,2,880
1532641475589962431,0,503,922,2,877
1532641475591505995,0,507,932,2,874
1532641475592996894,0,517,938,2,874
1532641475594484001,0,521,941,2,873
1532641475595897629,0,527,942,2,874
1532641475597404002,0,531,942,2,876
1532641475598900798,0,542,944,2,876
1532641475600248243,0,547,946,2,875
1532641475659996177,0,557,947,2,877
1532641475661471027,0,561,948,3,879
1532641475662795291,0,565,948,2,880
1532641475664398459,0,565,948,2,880
1532641475665825560,0,568,949,3,877
1532641475667192219,0,571,949,3,875
1532641475668711276,0,576,950,2,876
1532641475670276841,0,575,950,2,873
1532641475671708817,0,578,951,2,873
1532641475673109280,0,578,951,2,870
1532641475674824329,0,583,951,2,869
1532641475676261875,0,586,951,2,871
1532641475677706011,0,586,951,2,874
1532641475678998692,0,899,898,3,875
1532641475680431558,0,899,899,2,878
1532641475681863892,0,898,898,2,883
1532641475683252361,0,896,897,2,884
1532641475684729516,0,895,895,2,889
1532641475744355130,0,892,892,2,891
1532641475745741917,0,888,888,2,897
1532641475747182705,0,893,894,2,902
1532641475748580707,0,895,895,2,906
1532641475749977354,0,896,896,2,909
1532641475751374509,0,897,897,1,914
1532641475752755887,0,897,898,1,918
1532641475754132023,0,899,899,1,923
1532641475755706664,0,901,901,1,926
1532641475757289719,0,901,901,0,928
1532641475758789815,0,902,902,1,931
1532641475760305675,0,901,901,1,931
1532641475761755819,0,901,901,2,933
1532641475763158414,0,900,900,1,932
1532641475764588509,0,899,899,2,933
1532641475766054844,0,896,896,1,933
1532641475767432368,0,892,892,2,932
1532641475828603002,0,887,886,2,932
1532641475829980353,0,873,872,4,931
1532641475831411721,0,875,875,2,931
1532641475832831241,0,875,875,1,931
1532641475834301127,0,873,873,1,930
1532641475835690140,0,871,871,1,929
1532641475837076553,0,866,865,0,927
1532641475838522002,0,857,859,0,924
1532641475839926286,0,860,860,0,919
1532641475841366293,0,857,854,1,913
1532641475842674310,0,852,851,0,906
1532641475844308828,0,846,846,0,898
1532641475845829849,0,838,839,0,890
1532641475847161219,0,832,831,0,884
1532641475848748917,0,819,819,0,878
1532641475850080947,0,812,811,0,869
1532641475851536846,0,801,800,0,860
1532641475852974668,0,791,791,0,856
1532641475913012307,0,776,776,0,841
1532641475914419011,0,760,760,0,825
1532641475915811196,0,736,735,0,814
1532641475917146805,0,708,707,0,801
1532641475918584001,0,652,651,0,780
1532641475920006934,0,583,582,0,747
1532641475921431331,0,519,514,0,713
1532641475922894637,0,431,428,0,679
1532641475924255631,0,370,368,0,644
1532641475925651622,0,291,294,0,606
1532641475927020251,0,226,225,0,528
1532641475928351731,0,112,110,0,415
1532641475929774093,0,0,0,0,271
1532641475931130976,0,0,0,0,133
1532641475932462717,0,0,0,0,18
1532641475933780126,0,0,0,0,0
1532641475935111393,0,0,0,0,0
1532641475936507579,0,0,0,0,0
1532641475997239437,0,0,0,0,0
1532641475998615859,0,0,0,0,0
1532641475999931326,0,0,0,0,0
1532641476001314390,0,0,0,0,0
1532641476002709934,0,0,0,0,0
1532641476004262000,0,0,0,0,0
1532641476005646971,0,0,0,0,0
1532641476006988960,0,0,0,0,0
1532641476008288389,0,0,0,0,0
1532641476009647897,0,0,0,0,0
1532641476010906203,0,0,0,0,0
1532641476012256298,0,0,0,0,0
1532641476013599793,0,0,0,0,0
1532641476014907400,0,0,0,0,0
1532641476016341062,0,0,0,0,0
1532641476017640514,0,0,0,0,0
1532641476019099230,0,0,0,0,0
1532641476081498917,0,0,0,0,0
1532641476082923103,0,0,0,0,0
1532641476084349924,0,0,0,0,0
1532641476085734529,0,0,0,0,0
1532641476087126944,0,0,0,0,0
1532641476088574277,0,0,0,0,0
1532641476089976446,0,0,0,0,0
1532641476091432243,0,0,0,0,0
1532641476092825896,0,0,0,0,0
1532641476094105204,0,0,0,0,0
1532641476095411932,0,0,0,0,0
1532641476096997934,0,0,0,0,0
1532641476098352316,0,0,0,0,0
1532641476099657943,0,0,0,0,0
1532641476100970235,0,0,0,0,0
1532641476102309326,0,0,0,0,0
1532641476103678801,0,0,0,0,0
1532641476105102166,0,0,0,0,0
1532641476165823767,0,0,0,0,0
1532641476167339100,0,0,0,0,0
1532641476168707183,0,13,0,0,0
1532641476170120362,0,0,0,0,0
1532641476171512541,0,0,0,0,0
1532641476172984039,0,0,0,0,0
1532641476174306311,0,0,0,0,0
1532641476175767605,0,0,0,0,0
1532641476177097680,0,0,0,0,4
1532641476178431618,0,0,0,0,97
1532641476179752382,0,1,0,0,121
1532641476181046809,0,13,0,0,90
1532641476182368228,0,9,0,0,80
1532641476183719951,0,0,0,0,0
1532641476185009595,0,0,0,0,0
1532641476186324687,0,0,0,0,0
1532641476187703583,0,0,0,0,0
1532641476189070937,0,0,0,0,0
1532641476250145380,0,0,0,0,0
1532641476251546998,0,0,0,0,0
1532641476252916584,0,0,0,0,0
1532641476254259367,0,0,0,0,0
1532641476255741155,0,0,0,0,0
1532641476256953471,0,0,0,0,0
1532641476258699644,0,0,0,0,0
1532641476260257719,0,0,0,0,0
1532641476261742398,0,0,0,0,0
1532641476263130671,0,0,0,0,0
1532641476264578427,0,0,0,0,0
1532641476265960888,0,0,0,0,0
1532641476267258587,0,0,0,0,0
1532641476268750285,0,6,0,0,0
1532641476270178715,0,9,0,0,0
1532641476271578392,0,27,0,0,0
1532641476272908522,0,63,0,0,0
1532641476274354660,0,84,0,0,0
1532641476334538032,0,89,0,0,0
1532641476335916834,0,88,0,0,0
1532641476337231201,0,105,0,0,0
1532641476338777298,0,109,0,0,0
1532641476340094544,0,108,126,0,0
1532641476341513604,0,106,314,0,104
