%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3
1532641427632612533,0,0,0,0,0
1532641427694512151,0,0,0,0,0
1532641427695909698,0,0,0,0,0
1532641427697426196,0,0,0,0,0
1532641427698798681,0,0,0,0,0
1532641427700139595,0,0,0,0,0
1532641427701844562,0,0,0,0,0
1532641427703322549,0,0,0,0,0
1532641427704725980,0,0,0,0,0
1532641427706136488,0,0,0,0,0
1532641427707491306,0,0,0,0,0
1532641427708921682,0,0,0,0,0
1532641427710383078,0,0,0,0,0
1532641427711862298,0,0,0,0,0
1532641427713272738,0,0,0,0,0
1532641427714684870,0,0,0,0,0
1532641427716182403,0,0,0,0,0
1532641427717529827,0,0,0,0,0
1532641427718929618,0,0,0,0,0
1532641427778945080,0,0,0,0,0
1532641427780349815,0,0,0,0,0
1532641427781730150,0,0,0,1,0
1532641427783353280,0,0,0,0,0
1532641427784716354,0,0,0,0,0
1532641427786061836,0,0,0,0,0
1532641427787526185,0,0,0,0,0
1532641427788891882,0,0,0,0,0
1532641427790217687,0,0,0,0,0
1532641427791651683,0,0,0,0,0
1532641427793060234,0,0,0,0,0
1532641427794644910,0,0,0,0,0
1532641427796057059,0,0,0,0,0
1532641427797482533,0,0,0,0,0
1532641427798822144,0,0,0,0,0
1532641427800339547,0,0,0,0,0
1532641427801712573,0,0,0,0,0
1532641427803208302,0,0,0,0,0
1532641427863268720,0,0,0,0,0
1532641427864702931,0,0,0,0,0
1532641427866102234,0,0,0,0,0
1532641427867595485,0,0,0,2,0
1532641427868928083,0,0,0,0,0
1532641427870299188,0,0,0,0,0
1532641427871784466,0,0,0,0,0
1532641427873114954,0,0,0,0,0
1532641427874562277,0,0,0,0,0
1532641427875939357,0,0,0,0,0
1532641427877377763,0,0,0,0,0
1532641427878714626,0,0,0,0,0
1532641427880040739,0,0,2,0,0
1532641427881546175,0,0,0,0,0
1532641427882816927,0,0,0,0,0
1532641427884158440,0,0,0,0,0
1532641427885523699,0,0,102,0,0
1532641427947514295,0,0,241,0,0
1532641427948896487,0,0,311,0,0
1532641427950219033,0,0,395,0,0
1532641427951575822,0,2,473,0,1
1532641427953211024,0,9,530,0,137
1532641427954737803,0,25,594,0,209
1532641427956058642,0,30,645,0,253
1532641427957483252,0,32,688,0,267
1532641427958895195,0,32,724,0,282
1532641427960291294,0,38,752,0,337
1532641427961794519,0,63,772,0,378
1532641427963287851,0,85,789,0,438
1532641427964601318,0,100,801,0,470
1532641427965983661,0,114,815,0,511
1532641427967308168,0,135,824,0,550
1532641427968732269,0,167,833,0,584
1532641427970152801,0,203,840,0,630
1532641427971415062,0,242,847,0,669
1532641428031854836,0,280,854,0,700
1532641428033164555,0,320,862,0,737
1532641428034602850,0,342,866,0,758
1532641428036030635,0,347,870,0,775
1532641428037351423,0,359,874,0,792
1532641428038775537,0,373,879,0,812
1532641428040128769,0,376,883,0,820
1532641428041604621,0,384,886,0,829
1532641428042987129,0,394,888,0,835
1532641428044422951,0,410,890,0,842
1532641428045845032,0,415,892,0,845
1532641428047215586,0,423,895,0,849
1532641428048575357,0,425,898,0,851
1532641428049952635,0,431,898,0,854
1532641428051297939,0,438,900,0,853
1532641428052686415,0,445,903,0,857
1532641428054050506,0,451,904,0,857
1532641428055429704,0,457,906,0,856
1532641428116183552,0,463,907,0,854
1532641428117577533,0,472,908,0,855
1532641428118989694,0,479,909,0,858
1532641428120269903,0,493,913,0,862
1532641428121727922,0,503,912,0,868
1532641428123046732,0,510,913,0,875
1532641428124451552,0,509,914,0,879
1532641428125852280,0,515,916,0,883
1532641428127256765,0,521,917,0,886
1532641428128849579,0,520,918,0,889
1532641428130294299,0,520,920,0,893
1532641428131656130,0,518,922,0,892
1532641428133212275,0,517,923,0,894
1532641428134733273,0,515,923,0,894
1532641428136212611,0,507,924,0,897
1532641428137578478,0,500,923,0,899
1532641428139019054,0,480,923,0,902
1532641428140527296,0,474,924,0,905
1532641428200468225,0,472,924,0,907
1532641428201821247,0,462,924,0,910
1532641428203257966,0,466,924,0,912
1532641428204540539,0,465,924,0,914
1532641428205949301,0,466,925,1,917
1532641428207337751,0,465,926,0,919
1532641428208796611,0,473,926,0,921
1532641428210131937,0,472,927,0,921
1532641428211587489,0,473,926,0,924
1532641428212985732,0,476,925,0,925
1532641428214525600,0,477,925,0,928
1532641428216021727,0,860,861,0,931
1532641428217647287,0,858,858,0,933
1532641428219060148,0,853,852,0,935
1532641428220451871,0,848,849,0,935
1532641428221971401,0,844,844,0,938
1532641428223211329,0,839,839,0,940
1532641428284790720,0,839,839,0,941
1532641428286212288,0,838,838,0,943
1532641428287524199,0,830,829,0,944
1532641428288952324,0,335,335,0,944
1532641428290528858,0,338,338,0,943
1532641428291859767,0,851,848,0,943
1532641428293246416,0,852,852,0,942
1532641428294746528,0,853,852,0,941
1532641428296049053,0,854,854,0,940
1532641428297530252,0,854,854,0,938
1532641428298921144,0,855,855,0,937
1532641428300294504,0,855,856,0,935
1532641428301678469,0,855,856,0,934
1532641428303150455,0,857,857,0,932
1532641428304464045,0,855,855,0,931
1532641428305877991,0,855,854,0,928
1532641428307450643,0,853,853,0,928
1532641428308926868,0,851,851,0,926
1532641428369033986,0,849,848,0,924
1532641428370376420,0,844,844,0,920
1532641428371922324,0,841,841,0,920
1532641428373338457,0,836,837,0,918
1532641428374765006,0,833,833,0,915
1532641428376223374,0,830,830,0,911
1532641428377753535,0,823,822,0,907
1532641428379110138,0,816,816,0,903
1532641428380582203,0,808,808,0,897
1532641428382001042,0,801,800,0,889
1532641428383607042,0,792,790,0,880
1532641428385011228,0,782,781,0,866
1532641428386454041,0,768,769,0,856
1532641428387856458,0,756,756,0,841
1532641428389315307,0,741,740,0,813
1532641428390759561,0,724,725,0,793
1532641428392111079,0,706,704,0,779
1532641428393478274,0,683,682,0,762
1532641428453369177,0,658,657,0,741
1532641428454688411,0,626,625,2,711
1532641428456074368,0,582,581,0,682
1532641428457376174,0,541,539,0,651
1532641428458952413,0,497,496,0,624
1532641428460470789,0,419,417,0,579
1532641428461755249,0,367,365,0,520
1532641428463222115,0,301,301,0,452
1532641428464586370,0,219,210,0,394
1532641428466081690,0,13,13,0,304
1532641428467482494,0,13,10,0,216
1532641428469000937,0,0,0,0,114
1532641428470349964,0,0,0,0,45
1532641428471692494,0,0,0,0,0
1532641428473045416,0,0,0,0,0
1532641428474380351,0,0,0,0,0
1532641428475727827,0,0,0,0,0
1532641428537529602,0,0,0,0,0
1532641428539029862,0,0,0,0,0
1532641428540444554,0,0,0,0,0
1532641428541707914,0,0,0,0,0
1532641428543400768,0,0,0,0,0
1532641428544750523,0,0,0,0,0
1532641428546223824,0,0,0,0,0
1532641428547625662,0,0,0,0,0
1532641428549234891,0,0,0,0,0
1532641428550558016,0,0,0,0,0
1532641428552062439,0,0,0,0,0
1532641428553427620,0,0,0,0,0
1532641428554850679,0,0,0,0,0
1532641428556390299,0,0,0,0,0
1532641428557861253,0,0,0,0,0
1532641428559275918,0,0,0,0,0
1532641428560788612,0,0,0,0,0
1532641428562262114,0,0,0,0,1
1532641428621901987,0,0,0,0,0
1532641428623290892,0,0,0,0,0
1532641428624730886,0,0,0,0,0
1532641428626081868,0,0,0,0,0
1532641428627395890,0,0,0,0,0
1532641428628903069,0,0,0,0,0
1532641428630288153,0,0,0,0,0
1532641428631732524,0,0,0,0,0
1532641428633236700,0,0,0,0,0
1532641428634807888,0,0,0,0,0
1532641428636236130,0,0,0,0,0
1532641428637659316,0,0,0,0,0
1532641428639253579,0,0,0,0,0
1532641428640661058,0,0,0,0,0
1532641428642308297,0,0,0,0,0
1532641428643732696,0,0,0,0,0
1532641428645119847,0,0,0,0,0
1532641428646617440,0,0,0,0,0
1532641428706265259,0,0,0,0,0
1532641428707734707,0,0,0,0,0
1532641428709159920,0,0,0,0,0
1532641428710512879,0,0,0,0,0
1532641428711998087,0,0,0,0,0
1532641428713369241,0,0,0,0,0
1532641428714891841,0,0,0,0,0
1532641428716171839,0,0,0,0,0
1532641428717701208,0,0,0,0,0
1532641428719079867,0,0,0,0,0
1532641428720520084,0,0,0,0,0
1532641428721947207,0,0,0,0,0
1532641428723189766,0,0,0,0,0
1532641428724770087,0,0,0,0,0
1532641428726111314,0,0,0,0,0
1532641428727438891,0,0,0,0,0
1532641428728831221,0,0,0,0,0
1532641428730195715,0,0,0,0,0
1532641428790558514,0,0,0,0,0
1532641428791925521,0,0,0,0,0
1532641428793360990,0,0,0,0,0
1532641428794793708,0,0,0,0,0
1532641428796119818,0,0,0,0,0
1532641428797555746,0,0,0,0,0
1532641428798848470,0,0,0,0,0
1532641428800314730,0,0,0,0,0
1532641428801672457,0,0,0,0,0
1532641428803128570,0,0,0,0,0
1532641428804676832,0,0,0,0,0
1532641428806164995,0,0,0,0,0
1532641428807562889,0,0,0,0,0
1532641428809020966,0,3,0,0,45
1532641428810441607,0,1,0,0,145
1532641428811877998,0,0,0,0,247
1532641428813438833,0,13,0,0,304
1532641428874910996,0,15,0,0,330
1532641428876295225,0,9,0,0,351
1532641428877702739,0,2,0,0,327
1532641428879070506,0,19,0,0,358
1532641428880607956,0,28,0,0,384
1532641428882083825,0,30,0,0,353
1532641428883576926,0,30,0,0,378
1532641428884997063,0,30,0,0,381
1532641428886623934,0,31,0,0,415
1532641428887922326,0,32,0,0,424
1532641428889389073,0,32,0,0,432
1532641428890850166,0,33,0,0,430
1532641428892286402,0,35,0,0,435
1532641428893560872,0,35,69,0,444
1532641428894931377,0,35,136,0,459
1532641428896335674,0,36,168,0,479
1532641428897715681,0,36,197,0,493
1532641428899081664,0,37,216,0,505
1532641428959045359,0,38,231,0,512
1532641428960429097,0,42,217,0,529
1532641428961827001,0,58,243,0,556
1532641428964740502,0,78,245,0,599
1532641428966085962,0,79,250,0,630
1532641428967453926,0,97,263,0,667
1532641428968982667,0,119,274,0,699
1532641428970413804,0,136,312,0,713
1532641428971759507,0,161,340,0,733
1532641428973325782,0,192,363,0,754
1532641428974774257,0,216,389,0,769
1532641428976181192,0,246,444,0,776
1532641428977695059,0,282,512,0,786
1532641428978996387,0,298,563,0,792
1532641428980539961,0,329,624,0,794
1532641428981889167,0,343,661,0,799
1532641428983252416,0,349,692,0,802
1532641429043270721,0,360,722,0,802
1532641429044788891,0,370,737,0,803
1532641429046179371,0,381,755,0,805
1532641429047566910,0,387,766,0,811
1532641429048896645,0,392,776,0,811
1532641429050425150,0,399,786,0,819
1532641429051733937,0,406,789,0,823
1532641429053011198,0,416,797,0,828
1532641429054303220,0,418,801,0,833
1532641429055709070,0,424,808,0,838
1532641429056999716,0,426,811,0,846
1532641429058374534,0,431,814,0,855
1532641429059695047,0,439,818,0,857
1532641429061025040,0,448,821,0,862
1532641429062408076,0,460,828,0,864
1532641429063660186,0,470,830,0,866
1532641429064972541,0,485,836,0,869
1532641429066469738,0,501,842,0,873
1532641429127727427,0,504,847,0,875
1532641429129080975,0,507,850,0,878
1532641429130578240,0,515,851,0,877
1532641429131967618,0,522,846,0,880
1532641429133475350,0,523,847,0,881
1532641429134848346,0,530,850,0,881
1532641429136248069,0,541,851,0,886
1532641429137498062,0,545,848,0,885
1532641429138851888,0,553,849,0,884
1532641429140217936,0,558,847,0,884
1532641429141597544,0,563,842,0,883
1532641429142986218,0,564,841,0,881
1532641429144366601,0,567,842,0,883
1532641429145662923,0,569,844,0,882
1532641429146906343,0,572,841,0,882
1532641429148228393,0,576,837,0,878
1532641429149601950,0,576,833,0,882
1532641429150918911,0,579,828,0,881
1532641429212055916,0,583,834,0,881
1532641429213431059,0,582,836,0,883
1532641429214735376,0,582,834,0,882
1532641429216130701,0,581,831,0,885
1532641429217795672,0,580,827,23,886
1532641429219304758,0,750,750,51,885
1532641429220795165,0,745,745,111,886
1532641429222254819,0,742,743,128,882
1532641429223721059,0,737,737,118,873
1532641429225072484,0,729,729,78,868
1532641429226497546,0,727,726,0,857
1532641429227955535,0,719,719,0,844
1532641429229474586,0,718,717,0,827
1532641429230892220,0,713,713,0,809
1532641429232240917,0,708,709,0,792
1532641429233595579,0,701,701,0,780
1532641429234953645,0,692,692,0,768
1532641429296259697,0,685,685,0,747
1532641429297690551,0,677,677,0,727
1532641429299133211,0,668,668,0,706
1532641429300562880,0,656,655,0,682
1532641429301970536,0,642,641,0,650
1532641429303373843,0,630,631,0,624
1532641429304641215,0,604,601,0,603
1532641429306060484,0,580,578,0,583
1532641429307537136,0,566,563,0,539
1532641429309108690,0,534,534,0,530
1532641429310542476,0,504,502,0,500
1532641429312001625,0,466,463,0,476
1532641429313481875,0,421,419,0,452
1532641429314932911,0,378,377,0,405
1532641429316369647,0,325,323,0,382
1532641429317791555,0,277,276,0,353
1532641429319161938,0,215,211,0,318
1532641429320673904,0,140,141,0,288
1532641429380528597,0,102,101,0,241
1532641429382023510,0,32,29,0,187
1532641429383303071,0,13,12,0,141
1532641429384824476,0,11,10,0,88
1532641429386170421,0,9,9,0,0
1532641429387581172,0,8,7,0,0
1532641429388960989,0,1,2,0,0
1532641429390359477,0,1,1,0,0
1532641429391715655,0,0,0,0,0
1532641429393226614,0,0,0,0,0
1532641429394512467,0,0,0,0,0
1532641429395927550,0,0,0,0,0
1532641429397223283,0,0,0,0,0
1532641429398561394,0,0,0,0,0
1532641429400069766,0,0,0,0,0
1532641429401440409,0,0,0,0,0
1532641429402847740,0,0,0,0,0
1532641429404287644,0,0,0,0,0
1532641429464845149,0,0,0,0,0
1532641429466249894,0,0,0,0,0
1532641429467629583,0,0,0,0,0
1532641429469184969,0,0,0,0,0
1532641429470446089,0,0,0,0,0
1532641429471761553,0,3,1,0,0
1532641429473105689,0,0,0,0,0
1532641429474574741,0,0,0,0,0
1532641429475894811,0,0,0,0,0
1532641429477485864,0,0,0,0,0
1532641429478898269,0,0,0,0,0
1532641429480277707,0,0,0,0,0
1532641429481562938,0,0,0,0,0
1532641429482969450,0,0,0,0,0
1532641429484269237,0,0,0,0,0
1532641429485571480,0,0,0,0,0
1532641429486870527,0,0,0,0,1
1532641429549205625,0,0,0,0,0
1532641429550630322,0,0,0,0,0
1532641429552270162,0,0,0,1,0
1532641429553589906,0,0,0,0,0
1532641429554905614,0,0,0,0,0
1532641429556264706,0,0,0,0,0
1532641429557622566,0,0,0,0,0
1532641429558952954,0,0,0,0,0
1532641429560274184,0,0,0,0,0
1532641429561835466,0,0,0,0,0
1532641429563175560,0,0,0,0,0
1532641429564588484,0,0,0,0,0
1532641429565988541,0,0,0,0,0
1532641429567323522,0,0,0,0,0
1532641429568602705,0,0,0,0,0
1532641429569946125,0,0,0,0,0
1532641429571435404,0,0,0,0,0
1532641429572762941,0,0,0,0,0
1532641429633474266,0,0,0,0,0
1532641429634849310,0,0,0,0,0
1532641429636241817,0,0,0,0,0
1532641429637611866,0,0,0,0,0
1532641429638986374,0,0,0,0,0
1532641429640407029,0,0,0,0,0
1532641429641804761,0,0,0,0,0
1532641429643254820,0,0,0,0,0
1532641429644722888,0,0,0,0,0
1532641429646190654,0,0,0,0,0
1532641429647580156,0,0,0,0,0
1532641429648973474,0,0,0,0,0
1532641429650653661,0,0,0,0,0
1532641429652141477,0,0,0,0,0
1532641429653495429,0,0,0,0,0
1532641429654789528,0,0,0,0,0
1532641429656177631,0,0,0,0,0
1532641429657589473,0,0,0,0,0
1532641429717697456,0,0,0,0,0
1532641429719154454,0,0,0,0,0
1532641429720578151,0,0,0,0,0
1532641429721936850,0,0,0,0,0
1532641429723387917,0,0,0,0,0
1532641429724675123,0,0,0,0,0
1532641429726057994,0,0,0,0,0
1532641429727455726,0,0,0,0,0
1532641429728805643,0,0,0,0,0
1532641429730305822,0,0,0,0,0
1532641429731827605,0,0,0,0,0
1532641429733241956,0,0,0,0,0
1532641429734586125,0,0,0,0,0
1532641429735987189,0,10,0,0,0
1532641429737435205,0,13,0,0,0
1532641429738887820,0,13,0,0,0
1532641429740176114,0,18,0,0,0
1532641429741583635,0,16,0,0,0
1532641429802146117,0,27,0,0,0
1532641429803533310,0,25,0,0,0
1532641429804943973,0,30,0,0,0
1532641429806353644,0,32,0,0,0
1532641429807725996,0,36,0,0,0
1532641429809082042,0,39,0,0,0
1532641429810480864,0,61,0,0,0
1532641429811961279,0,58,0,0,0
1532641429813403107,0,51,0,0,0
1532641429814798183,0,30,0,0,0
1532641429816195022,0,41,0,0,0
1532641429817605901,0,60,0,0,0
1532641429819048875,0,85,0,0,0
1532641429820400355,0,104,0,0,0
1532641429821807620,0,105,0,0,0
1532641429823215758,0,94,0,0,0
1532641429824553488,0,86,0,0,0
1532641429886303086,0,83,0,0,0
1532641429887728310,0,77,0,0,0
1532641429889168361,0,76,0,0,0
1532641429890443663,0,87,0,0,0
1532641429891858939,0,95,0,0,0
1532641429893342403,0,110,0,0,0
1532641429894620531,0,122,0,0,0
1532641429896020961,0,131,0,0,0
1532641429897550857,0,143,0,0,0
1532641429898981107,0,183,0,0,0
1532641429900551576,0,185,0,0,0
