%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3
1532641513004011959,0,0,0,0,0
1532641513005395371,0,0,0,0,0
1532641513006742364,0,0,0,0,0
1532641513008359829,0,0,0,0,0
1532641513009915625,0,14,0,0,0
1532641513011517651,0,16,0,0,0
1532641513013012059,0,22,0,0,0
1532641513014430572,0,21,0,0,0
1532641513015932661,0,16,0,0,0
1532641513017498232,0,17,1,0,0
1532641513018855706,0,9,0,0,0
1532641513020365213,0,9,0,0,0
1532641513021856974,0,11,0,0,0
1532641513023186489,0,16,0,0,0
1532641513024515610,0,19,0,0,0
1532641513026037144,0,12,0,0,0
1532641513027374560,0,14,0,0,0
1532641513088276739,0,12,0,0,0
1532641513089679891,0,12,0,0,0
1532641513091104556,0,7,0,0,0
1532641513092415430,0,17,0,0,0
1532641513093849305,0,17,0,0,0
1532641513095184492,0,18,0,0,0
1532641513096598244,0,0,0,0,0
1532641513097982245,0,19,41,0,0
1532641513099433943,0,22,109,0,0
1532641513100815601,0,23,242,0,0
1532641513102389328,0,38,309,0,0
1532641513103911531,0,53,389,1,0
1532641513105332500,0,62,425,0,0
1532641513106764371,0,105,490,0,0
1532641513108150622,0,126,527,0,0
1532641513109569093,0,133,566,0,0
1532641513111030031,0,143,587,0,0
1532641513112616867,0,158,635,0,0
1532641513172559009,0,182,664,0,0
1532641513173891958,0,197,689,0,0
1532641513175281852,0,219,707,0,0
1532641513176801192,0,239,727,0,0
1532641513178161484,0,273,744,0,0
1532641513179604620,0,278,762,0,0
1532641513181056218,0,297,776,0,0
1532641513182465436,0,315,784,0,0
1532641513183869214,0,328,793,0,0
1532641513185322442,0,335,805,0,0
1532641513186718074,0,355,814,0,0
1532641513188324459,0,371,817,0,0
1532641513189820045,0,377,831,0,0
1532641513191203660,0,380,837,0,143
1532641513192717060,0,395,842,0,257
1532641513194326406,0,404,847,0,381
1532641513195722988,0,410,852,0,484
1532641513197111872,0,414,857,0,571
1532641513256913210,0,425,863,0,630
1532641513258322448,0,433,866,0,660
1532641513259726263,0,442,873,0,687
1532641513261031542,0,455,876,0,707
1532641513262540701,0,465,879,0,731
1532641513263973945,0,475,883,0,753
