%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3
1532641523878455078,0,0,0,0,0
1532641523879786238,0,0,0,0,0
1532641523881214631,0,0,0,0,0
1532641523882634470,0,0,0,0,0
1532641523884236691,0,0,0,0,0
1532641523885682546,0,0,0,0,0
1532641523887088498,0,0,0,0,0
1532641523888575703,0,0,0,0,0
1532641523890022339,0,0,0,0,0
1532641523891329967,0,0,0,0,0
1532641523892640753,0,0,0,0,0
1532641523894059595,0,0,0,0,0
1532641523895385621,0,0,0,0,0
1532641523896971077,0,0,0,0,0
1532641523898362822,0,0,0,0,0
1532641523899707888,0,0,0,0,0
1532641523901002596,0,0,0,0,0
1532641523962708528,0,0,0,0,0
1532641523964123258,0,0,0,0,0
1532641523965488076,0,0,0,0,0
1532641523966922370,0,0,0,0,0
1532641523968297263,0,0,0,0,0
1532641523969726565,0,0,0,0,0
1532641523971354095,0,0,0,0,0
1532641523972677941,0,0,0,0,0
1532641523974067583,0,0,0,0,0
1532641523975456928,0,0,0,0,0
1532641523976830766,0,0,0,0,0
1532641523979889856,0,0,0,0,0
1532641523981347229,0,0,0,0,0
1532641523982700489,0,0,0,0,0
1532641523984201284,0,0,0,0,0
1532641523985652581,0,0,0,0,0
1532641523987046404,0,0,0,0,0
1532641524046915927,0,0,0,0,0
1532641524048300094,0,0,0,0,0
1532641524049711661,0,0,0,0,0
1532641524051097710,0,0,0,0,0
1532641524052649905,0,0,0,0,0
1532641524054087847,0,0,0,0,0
1532641524055526425,0,0,3,0,0
1532641524056911790,0,0,0,0,0
1532641524058316693,0,0,0,0,0
1532641524059862191,0,0,0,0,0
1532641524061486724,0,0,0,0,0
1532641524062964327,0,0,0,0,0
1532641524064343886,0,0,0,0,0
1532641524065901076,0,0,0,0,0
1532641524067246079,0,0,0,0,0
1532641524068592355,0,0,0,0,0
1532641524069953778,0,0,0,0,0
1532641524071393830,0,0,0,0,0
1532641524131304776,0,0,0,0,0
1532641524132772883,0,0,12,0,0
1532641524134167576,0,0,136,0,0
1532641524135556230,0,0,155,0,0
1532641524136959629,0,0,183,0,0
1532641524138330300,0,0,232,0,0
1532641524139681069,0,0,12,0,0
1532641524141105566,0,0,9,0,0
1532641524142355368,0,0,12,0,0
1532641524143771396,0,1,13,0,116
