%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3
1532641502382470333,0,0,0,0,0
1532641502383862813,0,0,2,0,0
1532641502385236002,0,0,0,0,0
1532641502386636287,0,0,0,0,0
1532641502388069238,0,0,0,0,0
1532641502389508804,0,0,0,0,0
1532641502390868786,0,0,0,0,0
1532641502392314693,0,0,0,0,0
1532641502393664837,0,0,0,0,0
1532641502395004000,0,0,0,0,0
1532641502396378828,0,0,0,0,0
1532641502397840063,0,0,0,0,0
1532641502399351211,0,0,0,0,0
1532641502400766241,0,0,0,0,0
1532641502402171767,0,0,0,0,0
1532641502403525975,0,0,0,0,0
1532641502404837381,0,0,0,0,0
1532641502406209668,0,0,0,0,0
1532641502466717466,0,0,0,0,0
1532641502468141321,0,0,0,0,0
1532641502469530472,0,0,0,0,0
1532641502470851103,0,0,0,3,0
1532641502472366411,0,0,0,0,0
1532641502473800088,0,0,0,0,0
1532641502475115894,0,0,0,0,0
1532641502476482574,0,0,0,0,0
1532641502477885126,0,0,0,0,0
1532641502479413812,0,0,0,0,0
1532641502480849942,0,0,0,0,0
1532641502482219255,0,0,0,0,0
1532641502483727970,0,0,0,0,0
1532641502485232717,0,0,0,0,0
1532641502486660329,0,0,0,0,0
1532641502488052247,0,0,0,0,0
1532641502489505683,0,0,0,0,0
1532641502551116077,0,0,0,0,0
1532641502552487991,0,0,0,0,0
1532641502553790075,0,0,0,0,0
1532641502555311307,0,0,0,0,0
1532641502556626536,0,0,0,0,0
1532641502558022582,0,0,0,0,0
1532641502559433420,0,0,0,0,0
1532641502560958570,0,0,66,0,0
1532641502562563051,0,0,114,0,0
1532641502563951284,0,0,180,0,0
1532641502565452052,0,0,231,0,0
1532641502566877771,0,0,287,0,0
1532641502568220322,0,0,324,0,0
1532641502569709181,0,0,362,0,0
1532641502571004908,0,20,392,0,0
1532641502572459435,0,30,407,0,0
1532641502573829447,0,76,8,0,0
1532641502575160504,0,87,8,0,0
1532641502635304208,0,77,11,0,57
1532641502636775868,0,101,691,0,167
1532641502638088113,0,116,728,0,287
1532641502639535318,0,135,761,0,366
1532641502640842063,0,162,787,0,438
1532641502642176583,0,175,804,19,509
1532641502643533839,0,195,816,69,568
1532641502644888318,0,208,830,81,644
1532641502646185357,0,217,842,88,689
1532641502647605033,0,225,848,96,736
1532641502648884446,0,234,856,101,759
1532641502650480591,0,237,862,106,778
1532641502651895211,0,243,867,119,797
1532641502653311647,0,252,871,139,809
1532641502654748153,0,264,877,166,821
1532641502656117699,0,268,881,197,833
1532641502657544882,0,272,888,235,843
1532641502658925696,0,280,893,252,850
1532641502719640283,0,302,898,267,856
1532641502721120979,0,313,903,280,862
1532641502722499635,0,329,906,304,868
1532641502723895475,0,344,909,318,871
1532641502725283044,0,351,912,335,874
1532641502726716814,0,362,914,354,876
1532641502728022670,0,372,916,364,877
1532641502729455861,0,382,920,367,879
1532641502730808927,0,397,922,354,881
1532641502732296118,0,396,926,341,883
1532641502733617495,0,402,928,317,886
1532641502735025931,0,397,927,315,887
1532641502736466256,0,396,932,288,888
1532641502737792064,0,391,933,279,888
1532641502739175819,0,389,934,272,892
1532641502740449768,0,388,935,269,894
1532641502741833764,0,385,935,260,896
1532641502743310536,0,380,936,242,900
1532641502804058959,0,377,938,232,901
