%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3
1532641411608816969,0,0,0,0,0
1532641411610165996,0,0,0,0,0
1532641411611676035,0,0,0,0,0
1532641411613065290,0,0,0,0,0
1532641411614440577,0,0,0,0,0
1532641411615856837,0,0,0,0,0
1532641411617380670,0,0,0,0,0
1532641411618755653,0,0,0,0,0
1532641411678069397,0,0,0,0,0
1532641411679515621,0,0,0,0,0
1532641411680914710,0,0,0,0,0
1532641411682481802,0,0,0,0,0
1532641411683905630,0,0,0,0,0
1532641411685315361,0,0,0,0,0
1532641411686604875,0,0,0,0,0
1532641411687982058,0,0,0,0,0
1532641411689388818,0,0,0,0,47
1532641411690931352,0,0,0,0,81
1532641411692344994,0,0,0,0,95
1532641411693714856,0,0,0,0,38
1532641411695066557,0,0,0,0,79
1532641411696449736,0,0,0,0,53
1532641411697788049,0,0,0,0,28
1532641411699127495,0,0,0,0,21
1532641411700492080,0,0,0,0,0
1532641411701862403,0,0,0,0,0
1532641411762403316,0,0,0,0,0
1532641411763791216,0,0,0,0,0
1532641411765093646,0,0,0,0,0
1532641411766628533,0,0,0,0,0
1532641411768048004,0,0,0,0,0
1532641411769348307,0,0,0,0,0
1532641411770805970,0,0,0,0,0
1532641411772320299,0,0,0,0,0
1532641411773714349,0,0,0,0,3
1532641411775054311,0,0,0,0,31
1532641411776370058,0,0,0,0,72
1532641411777662878,0,0,0,0,104
1532641411779088665,0,0,0,0,108
1532641411780415300,0,0,0,0,95
1532641411781766006,0,0,0,0,74
1532641411783202159,0,0,0,0,0
1532641411784423991,0,0,0,0,0
1532641411846580731,0,0,0,0,0
1532641411847924797,0,0,0,0,0
1532641411849346705,0,0,0,0,0
1532641411850768446,0,0,0,0,0
1532641411852268066,0,0,0,0,0
1532641411853720117,0,0,0,0,0
1532641411855160372,0,0,0,0,0
1532641411856509344,0,0,0,0,0
1532641411857959892,0,0,0,0,0
1532641411859304299,0,0,0,0,0
1532641411860675013,0,0,0,0,0
1532641411862048949,0,0,0,0,0
1532641411863418971,0,0,0,0,0
1532641411864790143,0,0,0,0,0
1532641411866145026,0,0,0,0,0
1532641411867449965,0,0,0,0,0
1532641411868831851,0,0,0,0,0
1532641411870142467,0,0,0,0,0
1532641411930890016,0,0,0,0,0
1532641411932318417,0,0,0,0,0
1532641411933660421,0,0,0,0,0
1532641411935042116,0,0,0,0,0
1532641411936495613,0,0,0,0,0
1532641411937841022,0,0,0,0,146
1532641411939157321,0,0,0,0,292
1532641411940619232,0,0,0,0,372
1532641411941995338,0,0,0,0,426
1532641411943435417,0,0,0,0,482
1532641411945053248,0,0,140,0,527
1532641411946445362,0,0,286,0,587
1532641411947859438,0,0,370,0,636
1532641411949293095,0,0,470,0,669
1532641411950671025,0,0,537,0,696
1532641411952083585,0,0,595,0,717
1532641411953513359,0,2,631,0,726
1532641411954848913,0,2,665,0,740
1532641412015276838,0,28,689,0,751
1532641412016564263,0,39,710,0,751
1532641412018030673,0,44,733,0,760
1532641412019454503,0,65,752,0,768
1532641412020792569,0,101,768,0,778
1532641412022230694,0,125,782,0,786
1532641412023527818,0,147,797,0,794
1532641412024905421,0,167,810,0,804
1532641412026371153,0,192,819,0,816
1532641412027868854,0,198,826,0,832
1532641412029258948,0,216,833,0,837
1532641412030790906,0,227,842,0,843
1532641412032145326,0,236,849,0,847
1532641412033494466,0,252,853,0,849
1532641412034826407,0,269,857,0,851
1532641412036165017,0,280,859,0,855
1532641412037536687,0,286,861,0,856
1532641412038878451,0,287,863,0,858
1532641412099689984,0,285,864,0,860
1532641412101086658,0,286,866,0,861
1532641412102452877,0,290,867,0,862
1532641412103894530,0,296,868,0,866
1532641412105222981,0,309,869,0,866
1532641412106694694,0,298,870,0,867
1532641412108156251,0,297,873,0,869
1532641412109601861,0,294,875,0,870
1532641412111122185,0,296,876,0,873
1532641412112542066,0,298,878,0,876
1532641412113963025,0,304,880,0,876
1532641412115432819,0,308,882,0,876
1532641412116756281,0,311,884,0,878
1532641412118196155,0,313,885,0,878
1532641412119580755,0,314,887,0,878
1532641412120968930,0,309,888,0,876
1532641412122383550,0,309,889,0,879
1532641412183863077,0,310,889,0,880
1532641412185234870,0,312,889,0,879
1532641412186719941,0,310,888,0,880
1532641412188200789,0,313,888,0,881
1532641412189628119,0,311,890,0,883
1532641412191013476,0,310,890,0,883
1532641412192410433,0,316,890,0,884
1532641412193876292,0,319,890,0,886
1532641412195223486,0,322,890,0,887
1532641412196723961,0,322,888,0,888
1532641412198100325,0,327,887,0,889
1532641412199422782,0,328,885,0,888
1532641412200824621,0,331,884,0,887
1532641412202268927,0,330,881,0,886
1532641412203538228,0,333,879,0,883
1532641412204923960,0,338,874,0,884
1532641412206372032,0,339,869,0,882
1532641412207672122,0,342,863,0,881
1532641412268120085,0,342,856,0,881
1532641412269568916,0,345,852,0,880
1532641412271051395,0,346,845,0,880
1532641412272502091,0,348,837,0,878
