%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3
1532641449106390902,0,0,0,0,0
1532641449107721613,0,0,0,0,0
1532641449109114922,0,0,0,0,0
1532641449110610491,0,0,0,0,0
1532641449111986296,0,0,0,0,0
1532641449113342136,0,0,0,0,0
1532641449114693902,0,0,0,0,0
1532641449115984494,0,0,0,0,0
1532641449117500496,0,0,0,0,0
1532641449118981444,0,0,0,0,0
1532641449120361168,0,0,0,0,0
1532641449121759607,0,0,0,0,0
1532641449123246586,0,0,0,0,0
1532641449124562314,0,0,0,0,0
1532641449125926433,0,0,0,1,0
1532641449127397782,0,0,0,0,0
1532641449128673372,0,0,0,1,0
1532641449190556307,0,0,0,0,0
1532641449191958601,0,0,0,0,0
1532641449193367784,0,0,0,0,0
1532641449194765550,0,0,0,0,0
1532641449196099812,0,0,0,0,0
1532641449197464820,0,0,0,0,0
1532641449198847980,0,0,0,0,0
1532641449200268755,0,0,0,0,0
1532641449201752370,0,0,0,0,0
1532641449203219851,0,0,0,0,0
1532641449204731724,0,0,0,0,0
1532641449206177308,0,0,0,0,0
1532641449207545811,0,2,0,0,0
1532641449208902556,0,0,0,1,0
1532641449210373672,0,0,0,0,0
1532641449211846974,0,0,0,0,0
1532641449213254210,0,0,0,0,0
1532641449214600636,0,0,0,0,0
1532641449274856830,0,0,0,0,0
1532641449276287807,0,0,0,0,0
1532641449277663672,0,0,0,0,0
1532641449279083574,0,0,0,0,0
1532641449280654754,0,0,0,0,0
1532641449282124658,0,0,0,0,0
1532641449283476322,0,0,0,0,0
1532641449284850568,0,0,0,0,0
1532641449286323032,0,0,0,0,0
1532641449287783545,0,0,0,0,0
1532641449289168686,0,0,0,0,0
1532641449290747256,0,0,0,0,0
1532641449292131685,0,0,0,0,0
1532641449293592601,0,0,0,0,0
1532641449294987717,0,0,0,0,0
1532641449296544160,0,0,95,0,0
1532641449297997654,0,0,206,0,0
1532641449299327518,0,0,372,0,0
1532641449359187927,0,36,470,0,0
1532641449360604236,0,55,523,0,141
1532641449361876105,0,71,548,0,357
1532641449363433806,0,110,567,0,484
1532641449364815915,0,133,604,0,579
1532641449366170277,0,152,638,0,633
1532641449367523045,0,171,658,0,666
1532641449368753840,0,200,676,0,700
1532641449370153458,0,228,693,0,723
1532641449371532072,0,254,698,0,736
1532641449372798213,0,283,715,0,750
1532641449374336207,0,309,729,0,763
1532641449375777840,0,325,738,1,779
1532641449377154612,0,345,744,1,791
1532641449378468270,0,363,751,1,807
1532641449379806754,0,380,755,2,814
1532641449381204236,0,389,855,2,821
1532641449443499781,0,399,870,1,825
1532641449444913445,0,415,876,0,829
1532641449446329992,0,425,882,2,834
1532641449447731780,0,429,853,2,838
1532641449449088595,0,431,847,2,838
1532641449450428517,0,440,849,2,842
1532641449451926835,0,443,848,2,846
1532641449453210390,0,438,857,2,848
1532641449454656130,0,443,861,2,851
1532641449456028633,0,450,862,2,853
1532641449457490260,0,449,866,2,855
1532641449459067798,0,453,866,2,857
1532641449460453434,0,456,866,2,860
1532641449461719714,0,456,867,2,862
1532641449463026532,0,455,870,1,864
1532641449464449042,0,453,873,1,867
1532641449465716303,0,455,882,2,868
1532641449467023567,0,454,897,2,869
1532641449527744474,0,451,906,2,871
1532641449529179439,0,455,908,1,873
1532641449530626562,0,453,910,1,875
1532641449531938967,0,452,911,1,877
1532641449533343717,0,446,911,1,877
1532641449534670853,0,441,912,1,877
1532641449536269348,0,433,913,1,875
1532641449537617378,0,431,913,1,874
1532641449539176356,0,419,914,1,872
1532641449540545527,0,411,914,2,872
1532641449542399399,0,405,914,1,871
1532641449543877353,0,407,915,1,871
1532641449545307039,0,414,916,1,869
1532641449546726259,0,421,916,1,871
1532641449548275005,0,432,915,0,870
1532641449549614025,0,438,925,1,877
1532641449551041408,0,857,856,1,881
1532641449552511338,0,857,858,1,884
1532641449612013043,0,858,858,1,886
1532641449613409995,0,855,856,0,890
1532641449614773521,0,853,853,0,891
1532641449616166171,0,852,851,0,893
1532641449617753463,0,851,851,0,895
1532641449619170272,0,851,851,0,896
1532641449620637433,0,851,852,0,898
1532641449622099458,0,852,852,0,900
1532641449623460603,0,852,852,0,899
1532641449624988752,0,852,851,0,899
1532641449626564113,0,851,851,0,900
1532641449628044896,0,850,850,0,900
1532641449629442888,0,848,849,0,899
1532641449630784627,0,850,850,0,899
1532641449632070783,0,850,850,0,899
1532641449633495080,0,851,852,0,899
1532641449634904493,0,852,852,0,898
1532641449636423660,0,852,853,0,899
1532641449696359258,0,854,853,0,897
1532641449697792392,0,853,853,0,898
1532641449699193008,0,853,853,0,897
1532641449700598750,0,852,851,0,897
1532641449701917943,0,851,851,1,897
1532641449703322129,0,850,850,1,895
1532641449704769332,0,848,848,1,893
1532641449706167252,0,846,847,1,892
1532641449707495981,0,844,845,2,889
1532641449709002425,0,842,842,1,885
