%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3
1532640928964088355,0,0,0,0,0
1532640928965405742,0,0,0,0,0
1532640928966836190,0,0,0,0,0
1532640928968281981,0,0,0,0,0
1532640928969618889,0,0,0,0,0
1532640928970965329,0,0,0,0,0
1532640928972438517,0,0,0,0,0
1532640928973726723,0,0,0,0,0
1532640928975027960,0,0,0,0,0
1532640928976408118,0,0,0,0,0
1532640928977868107,0,0,0,0,0
1532640928979365460,0,0,0,0,0
1532640928980865178,0,0,0,0,0
1532640928982190116,0,0,0,0,0
1532640928983664540,0,0,0,0,0
1532640928985095834,0,0,0,0,0
1532640928986502153,0,0,0,0,0
1532640928987985848,0,0,0,0,0
1532640929049320714,0,0,0,0,0
1532640929050704996,0,0,0,0,0
1532640929051837889,0,0,0,0,0
1532640929053041129,0,0,0,0,0
1532640929054320795,0,0,0,0,0
1532640929055526759,0,0,0,0,0
1532640929056804304,0,0,0,0,0
1532640929058097429,0,0,0,0,0
1532640929059356775,0,0,0,0,0
1532640929060556157,0,0,0,0,0
1532640929061933705,0,0,0,0,0
1532640929063198505,0,0,0,0,0
1532640929064512973,0,0,0,0,0
1532640929065788570,0,0,0,0,0
1532640929067029331,0,0,0,0,0
1532640929068290469,0,0,0,0,0
1532640929069510314,0,0,0,0,0
1532640929132683365,0,0,0,0,0
1532640929134112034,0,0,0,0,0
1532640929135506313,0,0,0,0,0
1532640929136799312,0,0,0,0,0
1532640929138245044,0,0,0,0,0
1532640929139694512,0,0,0,0,0
1532640929141249574,0,0,0,0,0
1532640929142689556,0,0,0,0,0
1532640929144082695,0,0,0,0,0
1532640929145529349,0,0,0,0,0
1532640929147004823,0,0,0,0,0
1532640929148484678,0,0,0,0,0
1532640929149843666,0,0,0,0,0
1532640929151323487,0,0,0,0,0
1532640929152601678,0,0,0,0,0
1532640929154022165,0,0,0,0,0
1532640929155203189,0,0,0,0,0
1532640929156520575,0,0,0,0,0
1532640929217097606,0,0,0,0,0
1532640929218405734,0,0,0,0,0
1532640929219890160,0,0,0,0,0
1532640929221286852,0,0,0,0,0
1532640929222679715,0,0,0,0,0
1532640929223989981,0,0,0,0,0
1532640929225321732,0,0,0,0,0
1532640929226606400,0,0,0,0,0
1532640929228047795,0,0,0,0,0
1532640929229522156,0,0,0,0,3
1532640929230896523,0,0,0,0,0
1532640929232223884,0,0,0,0,0
1532640929233671829,0,0,0,0,0
1532640929235055945,0,0,0,0,0
1532640929236473625,0,0,0,0,0
1532640929237996066,0,0,0,0,0
1532640929239296236,0,0,0,0,0
1532640929240702833,0,0,0,0,0
1532640929301349329,0,0,0,0,0
1532640929302728787,0,0,0,0,0
1532640929304142192,0,0,0,0,0
1532640929305421210,0,0,0,0,0
1532640929306808719,0,0,0,0,0
1532640929308180663,0,0,0,0,0
1532640929309666680,0,0,0,0,0
1532640929310965693,0,0,0,0,0
1532640929312353057,0,0,0,0,0
1532640929314051521,0,0,0,0,0
1532640929315531660,0,0,0,0,0
1532640929316883542,0,0,0,0,0
1532640929318449891,0,0,0,0,0
1532640929319798789,0,0,0,0,0
1532640929321288294,0,0,0,0,0
1532640929322710787,0,0,0,0,0
1532640929324245879,0,0,0,0,0
1532640929385588631,0,0,0,0,0
1532640929386979828,0,0,0,0,0
1532640929388289825,0,0,0,0,0
1532640929389684548,0,0,0,0,0
1532640929391098756,0,0,0,0,0
1532640929392689368,0,0,0,0,0
1532640929394094374,0,0,0,0,0
1532640929395601291,0,0,0,0,0
1532640929397209726,0,0,0,0,0
1532640929398749887,0,0,0,0,0
1532640929400076309,0,0,0,0,0
1532640929401583453,0,0,0,0,0
1532640929403099716,0,0,0,0,0
1532640929404622829,0,0,0,0,0
1532640929406031225,0,0,0,0,0
1532640929407413655,0,0,0,0,0
1532640929408828247,0,0,0,0,0
1532640929410384397,0,0,0,0,0
1532640929469939091,0,0,0,0,0
1532640929471315244,0,0,0,0,0
1532640929472581255,0,0,0,0,0
